Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
4130 Midrose Trl,Dallas,TX,75287,33.010574,-96.84064000000001,2872,https://www.zillow.com/homedetails/4130-Midrose-Trl-Dallas-TX-75287/53096218_zpid/,609000,House,Move in ready homeFull kitchenUpdated kitchenHigh ceilingsClose proximity to shoppingAbundant natural lightLarge closets,"PRICE IMPROVEMENT CAN BE USED AS A REDUCTION IN PRICE, RATE BUY DOWN, OR TOWARDS SELLER CONCESSIONS. Welcome to this beautiful updated, move in ready home featuring high ceilings & abundant natural light. This property has the RARE opportunity for a MIL suite or an income producing ADU upstairs with a full kitchen, living area, bedroom, large closets, full bathroom, & washer-dryer hookups! The unit can be accessed from the outside of the home allowing for complete privacy. On the first level, the updated kitchen opens up to the living and dining area. There are 3 bedrooms & 2 full bathrooms downstairs, along with a large flex space. Unwind in your backyard on a spacious covered patio, perfect for entertaining guests. Located in Dallas feeding into the sought-after Plano ISD, this home offers excellent connectivity to DNT and PGBT, providing easy access to the DFW metroplex, and close proximity to shopping & restaurants. Full walk through Virtual Tour available on MLS!Chevron DownShow more",4,3,2486,143,67 ,,"Carpet, Luxury Vinyl Plank, Tile","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Built-In Gas Range, Dishwasher, Gas Cooktop, Disposal, Microwave",Cable TV,,2,6098 ,R308500Q03201, DetachedProperty ,SingleFamily,1999," Sewer Available, Water Available, Cable Available",,Midway Crossing Add,2.5%,,2,2,2,,,,,,,Yes,35.0,,,,,,
12608 Breckenridge Dr,Dallas,TX,75230,32.919247,-96.78178,2955,https://www.zillow.com/homedetails/12608-Breckenridge-Dr-Dallas-TX-75230/26849798_zpid/,869000,Multi-family home,Modern updatesSoaring ceilingsElegant designBuilt insHigh ceilingsHardwood floors throughoutCrown molding,"This sophisticated 4-bedroom, 4-bath home in Hillcrest Oaks Estates offers elegant zero lot line living. With soaring ceilings, crown molding, and an abundance of natural light. This home boasts a welcoming open floor plan with hardwood floors throughout. The gracious entry leads to an inviting living room and dining room featuring high ceilings, built ins and a cozy fireplace. The newly updated kitchen showcasing gorgeous countertops, stylish backsplash and stainless steel appliances.The spacious primary bedroom on the main floor is a retreat with its own fireplace, dual vanities, a dressing table, and a generously sized walk-in closet. A second bedroom or study on the main floor comes with a full bath. Upstairs are two large bedrooms, each with its own en-suite bath.Ideal lock and leave living, allowing for a low-maintenance lifestyle. NO HOA dues. With its modern updates and elegant design, this home is ready to provide luxurious and convenient living.Chevron DownShow more",4,4,2527,125,98 , 15 x 12,"Carpet, Ceramic Tile, Wood","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater, Microwave, Plumbed For Gas, Refrigerator, Water Softener, Vented Exhaust Fan",,,2,5575 ,00000734826020000," Traditional , Garden HomeProperty ",MultiFamily,1981," Sewer Available, Water Available, Cable Available",Smoke Detector(s),Hillcrest Oaks Estates,3%,,2,2,2,,,,," Washer Hookup, Electric Dryer Hookup",,,,"Skylight(s), Window Coverings"," Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Eat-in Kitchen, High Speed Internet, Paneling/Wainscoting, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",,,,
2503 Pall Mall Ave,Dallas,TX,75241,32.672638,-96.78097,2200,https://www.zillow.com/homedetails/2503-Pall-Mall-Ave-Dallas-TX-75241/96513507_zpid/,395000,House,Bishop artsBluetooth speakersQuartz countertops,"Step into a world of contemporary elegance with this newly constructed 3-bedroom, 2-bathroom residence, offering the latest in construction standards and energy-efficient features. Designed for modern living, this home seamlessly combines luxury, convenience, and smart technology. The kitchen is a chef's dream, featuring quartz countertops, stainless steel appliances, and a suite of smart gadgets. Bluetooth speakers add a touch of entertainment to your culinary endeavors. The living room is pre-wired for your home theater system, creating an immersive entertainment experience. Enjoy seamless connectivity with an internet extender, ensuring a strong signal throughout the living spaces. The expansive backyard is your private oasis. Gather around the fire pit for cozy evenings. Ideally situated near Downtown Dallas, Bishop Arts, and freeway access, providing a perfect balance of convenience and tranquility.Chevron DownShow more",3,2,748,96,6 ,,"Combination, Ceramic Tile, Simulated Wood",Central,"Central Air, Ceiling Fan(s)","Dishwasher, Electric Cooktop, Electric Oven, Disposal, Microwave, Refrigerator",,,1,10541 ,00000641839000000," Traditional , DetachedProperty ",SingleFamily,2023," Sewer Available, Water Available, Cable Available","Security System, Smoke Detector(s)",Alameda Heights,2%,,2,2,2,,,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,Window Coverings," Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Smart Home, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",,,,
3723 W Beverly Dr Unit B,Dallas,TX,75209,32.831253000000004,-96.822845,3850,https://www.zillow.com/homedetails/3723-W-Beverly-Dr-UNIT-B-Dallas-TX-75209/2058096619_zpid/,1249500,New construction,Thoughtful floor planVisual comfort lightingClassic beautyWalk-in pantryEmtek hardwareMarvin windowsSpacious family room,"Experience this single-family attached, gorgeous, classic beauty by Olerio Homes, centrally located just West of Highland Park. Appointed in a timeless palette of marble & natural wood, this home boasts an open, thoughtful floor plan for seamless entertaining & comfortable living. Amenities include a chef's kitchen highlighted by 36 in gas range, a walk-in pantry, and an oversized island, opening to a spacious family room with a fireplace and dining room flooded with natural light. , The primary suite is located off the generous second-floor landing and is flooded with natural light. Luxury finishes include Marvin windows, Kohler plumbing fixtures, Visual Comfort lighting, and Emtek hardware, to name a few.Chevron DownShow more",3,3,465,27,4 ,,"Carpet, Tile, Wood",Central,Central Air,"Double Oven, Dishwasher, Gas Cooktop, Disposal, Refrigerator","Decorative/Designer Lighting Fixtures, Kitchen Island",,2,7971 ,00000217930000000,,,," Sewer Available, Water Available",,Lafoy Place,3%,,2,2,2,,,,,,,,,,,,,,
1110 Tenison Memorial Rd,Dallas,TX,75223,32.805454,-96.73584,1160,https://www.zillow.com/homedetails/1110-Tenison-Memorial-Rd-Dallas-TX-75223/26700478_zpid/,549000,House,White rock lakeSeparate glass showerSizable backyardFresh white kitchen cabinetryEnsuite bathWalk in closetSoaking tub,"Renovated Open concept home located in highly sought after Hollywood Santa Monica! Taken to the studs and thoughtfully reimagined from top to bottom, you'll feel right at home with the open and bright living space, sizable primary retreat with walk in closet and updates throughout. Fresh white kitchen cabinetry and countertops are complemented by Stainless Steel appliances. The primary bedroom retreat is a very generous size, with ensuite bath featuring a floating dual sink vanity, separate glass shower and soaking tub. Enjoy the sizable backyard, a canvas ready for you to make your mark. Outdoor enthusiasts will rejoice, located mere blocks from the Santa Fe Hike and Bike Trail, White Rock Lake, and Lindsley Park. Zoned to exemplary Lakewood Elementary.Chevron DownShow more",2,2,1074,87,88 , 25 x 12,Luxury Vinyl Plank,"Central, Electric","Central Air, Electric","Dishwasher, Electric Range, Disposal, Vented Exhaust Fan","Decorative/Designer Lighting Fixtures, Double Vanity, High Speed Internet, Open Floorplan, Cable TV, Walk-In Closet(s)",Off Street,1,7492 ,00000226729000000," Traditional , Detached , Historic/AntiqueProperty ",SingleFamily,1938," Sewer Available, Water Available, Cable Available",,Ludwigs Sub,3%,,,,,Curbs,,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room, In Hall",,,,,,,,,
12114 Vendome Pl,Dallas,TX,75230,32.913956,-96.79975999999999,3547,https://www.zillow.com/homedetails/12114-Vendome-Pl-Dallas-TX-75230/26849666_zpid/,1900000,House,Modern aestheticsHigh-end appliancesWet barQuartzite countertopsDedicated studyHeated flooringCaptivating water views,"This stunning home features 2 beds, 2 full baths, & 2 half baths, as well as a dedicated study, providing ample space & privacy as well as being conveniently located with easy access to nearby shopping and close proximity to the Cooper Center. At 3,547 sq ft, this home has undergone an extensive renovation, a harmonious blend of modern aesthetics & timeless charm. The living room is adorned with a fluted Danby marble mantle over the fireplace, serving as a stunning focal point & a wet bar with water views convenient for entertaining. The kitchen is a culinary enthusiast's dream, boasting oak cabinets quartz and quartzite countertops & an array of high-end appliances including a wine fridge. The primary bedroom on the main level has beautiful views of the water & access to the deck. The primary bath showcases fluted oak cabinets, heated flooring, & a Toto bidet. The outdoor area features a bamboo-slatted sustainable deck system, offering a tranquil retreat with captivating water views.Chevron DownShow more",2,4,967,40,5 , 15 x 15,"Carpet, Tile, Wood","Central, Natural Gas","Central Air, Electric","Built-In Refrigerator, Double Oven, Dishwasher, Gas Cooktop, Disposal, Tankless Water Heater, Wine Cooler","Wet Bar, Double Vanity, Kitchen Island, Open Floorplan, Pantry, Walk-In Closet(s), Wired for Sound",,2,7927 ,00000734718360000," Contemporary/Modern , Detached , Garden HomeProperty ",SingleFamily,1983," Electricity Available, Natural Gas Available, Sewer Available, Water Available",Security System,Parc Du Lac Estates,3%,,2,2,2,,,,,,,Yes,850.0,,,,,,
13511 Flagstone Ln,Dallas,TX,75240,32.93168,-96.7714,1312,https://www.zillow.com/homedetails/13511-Flagstone-Ln-Dallas-TX-75240/26852237_zpid/,345000,House,New carpetFresh paintCustom tile surroundNew shower doorNew windowsGranite counter topsExterior paint,"MOVE-IN READY! This 3 bedroom, 2 bath home has been updated and is GORGEOUS inside!  Updates include exterior paint, New windows, luxury vinyl plank flooring, new carpet in bedrooms, fresh paint, stainless appliances, custom kitchen cabinets with granite counter tops. Bathroom features new shower door with custom tile surround.  There are so many updates in this home!  Located just minutes from 75 and I-635.Chevron DownShow more",3,2,1241,83,12 , 1 x 1,"Carpet, Luxury Vinyl Plank",Central,Central Air,"Dishwasher, Electric Range, Disposal, Microwave","Granite Counters, High Speed Internet",,1,8842 ,00000741433000000," Traditional , DetachedProperty ",SingleFamily,1957," Cable Available, Electricity Connected, Sewer Available, Water Available",Wireless,Spring Valley Park,3%,,2,2,2,,,,,,,,,,,,,,
3936 Kimballdale Dr,Dallas,TX,75233,32.696106,-96.88515500000001,1728,https://www.zillow.com/homedetails/3936-Kimballdale-Dr-Dallas-TX-75233/26827033_zpid/,350000,House,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317 N Carroll Ave,Dallas,TX,75246,32.793147999999995,-96.76985,1863,https://www.zillow.com/homedetails/317-N-Carroll-Ave-Dallas-TX-75246/26679256_zpid/,450000,House,Basketball courtsMinutes from downtown dallas,"Explore the possibilities with 317 N Carroll, a unique property that not only offers a charming historic residence but also presents an exceptional land opportunity. Nestled in a serene neighborhood just minutes from downtown Dallas and Uptown, providing easy access to dining, entertainment, and cultural experiences. This expansive lot also provides the canvas for your vision.
Nature enthusiasts and sports lovers will appreciate being within walking distance to Buckner (Samuell) Park. Revel in the park's amenities, including tennis and basketball courts, as well as softball and soccer fields. Unlock the potential in this 1863 sq ft, 3 bedroom, 3 bath home OR create your dream space in a sought-after neighborhood. LOCATION...LOCATION...LOCATION!Chevron DownShow more",3,3,1826,74,52 ,,,,,Gas Oven,"High Speed Internet, Cable TV",,1,7318 ,00000126775000000, DetachedProperty ,SingleFamily,1903," Sewer Available, Water Available, Cable Available",,Queen City,3%,,1,1,1,,,,,,,,,,,,,,
7327 Debbe Dr,Dallas,TX,75252,32.99434,-96.77755,2783,https://www.zillow.com/homedetails/7327-Debbe-Dr-Dallas-TX-75252/26593046_zpid/,829000,House,Natural stone countertopsMotorized shadesNatural stone cooking ledgeFreestanding tubVerona gas rangeSpacious showerOpen wood shelves,"Discover this bright and beautiful home updated in 2023 and centrally located in a highly sought after established North Dallas neighborhood. It’s a short walk to popular hiking & biking trails. The floorplan is thoughtfully open providing a nice flow for entertaining, but enough division of the main spaces for everyday life. The house boasts engineered wide-plank French Oak throughout including all bedrooms. The kitchen is warm and inviting with natural stone countertops and backsplash, open wood shelves, Verona gas range, pot filler and a natural stone cooking ledge. The primary bath features Zia tile, double sinks, a freestanding tub, a spacious shower, and dual closets. The front windows include motorized shades for privacy. The 4th bedroom and a bath are located on their own wing of the house providing privacy for guests or a home office. Go to www.KathyandKim.com to see a video walk through of this featured home.Chevron DownShow more",4,3,997,90,8 , 11 x 11,"Tile, Wood",,Electric,"Dryer, Dishwasher, Disposal, Gas Range, Microwave, Refrigerator, Washer","Decorative/Designer Lighting Fixtures, Double Vanity, Granite Counters, Pantry, Walk-In Closet(s)",,1,9583 ,R023401601701," Traditional , DetachedProperty ",SingleFamily,1981," Sewer Available, Water Available","Security System, Smoke Detector(s)",Highlands Sec 1,3%,,2,2,2,"Trails/Paths, Sidewalks",,,, Laundry in Utility Room,,Yes,8.0,,,,,,
2234 Jordan St,Dallas,TX,75215,32.758179999999996,-96.76688,2400,https://www.zillow.com/homedetails/2234-Jordan-St-Dallas-TX-75215/26686552_zpid/,360000,House,,,3,3,1360,108,8 ,,,"Central, ENERGY STAR Qualified Equipment",ENERGY STAR Qualified Equipment,,"Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Natural Woodwork, Walk-In Closet(s)",,2,5096 ,00000170989000000, DetachedProperty ,SingleFamily,2024," Cable Available, Sewer Available, Water Available",,Jordan Wm,2.5%,,2,2,2,,,,,,,,,,,,,,
2623 Pennsylvania Ave,Dallas,TX,75215,32.766457,-96.76856,2502,https://www.zillow.com/homedetails/2623-Pennsylvania-Ave-Dallas-TX-75215/26681449_zpid/,575000,House,Private balconyCedar crest golf courseStainless steel appliancesFair parkSoft-closing cabinetsLuxurious kitchenKing-size bed,"By using the Preferred lender buyer's can receive up to $10,000 towards closing costs. This beautiful, modern, and custom built home offers a unique living experience just minutes outside Downtown Dallas. Located Kylde Warren Park, Fair Park, Cedar Crest Golf Course, Deep Ellum, shopping areas, and much more is being developed around. This 4 bedroom 3.5 bathroom home offers an open-concept living area, provides plenty of natural lighting throughout. This home ideal for family living, entertaining guest, and hosting the holidays. The luxurious kitchen boast quartz countertops with soft-closing cabinets, a spacious walk-in pantry and stainless steel appliances. A primary bedroom that can easily accommodate a king-size bed, a private balcony, that features two closets and a very modern bathroom.Chevron DownShow more",4,4,756,51,8 ,,"Carpet, Ceramic Tile",Central,"Central Air, Ceiling Fan(s)","Dishwasher, Electric Cooktop, Electric Oven, Electric Range, Microwave","Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Open Floorplan, Other, Pantry, Smart Home, Cable TV, Walk-In Closet(s)",,2,6011 ,00000148225000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2022," Electricity Available, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available","Other, Smoke Detector(s)",South Park,3%,,4,2,4,Sidewalks,2,,, Laundry in Utility Room,,,,,,,,,
